grade,max_duration,min_duration,allow_dotted,allow_tuplet,allow_syncopation,allow_easy_compound,allow_mixed_compound,allow_compound
0.5,4,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,4,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.5,4,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,None,None,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2.5,None,None,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,None,None,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3.5,None,None,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
4,None,None,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,None,None,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,None,None,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
