Pitch,Piccolo,Flute,Alto Flute,Bass Flute,Oboe,English Horn,Clarinet,Bass Clarinet,Alto Saxophone,Tenor Saxophone,Baritone Saxophone,Bassoon,French Horn,Trumpet,Trombone,Bass Trombone,Euphonium,Tuba
C1,,,,,,,,,,,,,,,,,,
C#1,,,,,,,,,,,,,,,,,,
D1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
D#1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
E1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
F1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
F#1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
G1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
G#1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
A1,,,,,,,,,,,,,,,,,,"Deep, Heavy"
A#1,,,,,,,,,,,,"Sonorous, Dark, Vibrant",,,,"Heavy, strong","Dark, round, full","Deep, Heavy"
B1,,,,,,,,,,,,"Sonorous, Dark, Vibrant",,,,"Heavy, strong","Dark, round, full","Deep, Heavy"
C2,,,,,,,,,,,rumbling,"Sonorous, Dark, Vibrant",,,,"Heavy, strong","Dark, round, full",Strong
C#2,,,,,,,,,,,rumbling,"Sonorous, Dark, Vibrant",,,,"Heavy, strong","Dark, round, full",Strong
D2,,,,,,,,"Chalumeau, deep, rich",,,rumbling,"Sonorous, Dark, Vibrant",,,,"Heavy, strong","Dark, round, full",Strong
D#2,,,,,,,,"Chalumeau, deep, rich",,,rumbling,"Sonorous, Dark, Vibrant",,,,"Heavy, strong","Dark, round, full",Strong
E2,,,,,,,,"Chalumeau, deep, rich",,,dark,"Sonorous, Dark, Vibrant",,,Dark,"Heavy, strong","Dark, round, full",Strong
F2,,,,,,,,"Chalumeau, deep, rich",,,dark,"Sonorous, Dark, Vibrant","Dark, unfocused",,Dark,"Heavy, strong","Dark, round, full",Strong
F#2,,,,,,,,"Chalumeau, deep, rich",,,dark,"Sonorous, Dark, Vibrant","Dark, unfocused",,Dark,"Heavy, strong","mellow, smooth, sweet",Strong
G2,,,,,,,,"Chalumeau, deep, rich",,,dark,"Sonorous, Dark, Vibrant","Dark, unfocused",,Dark,"Deep, solid","mellow, smooth, sweet",Strong
G#2,,,,,,,,"Chalumeau, deep, rich",,,dark,"Sonorous, Dark, Vibrant","Dark, unfocused",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
A2,,,,,,,,"Chalumeau, deep, rich",,,dark,"Sweet, Subdued, Expressive","Dark, unfocused",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
A#2,,,,,,,,"Chalumeau, deep, rich",,"heavy, grainy",Full,"Sweet, Subdued, Expressive","Dark, unfocused",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
B2,,,,,,,,"Chalumeau, deep, rich",,"heavy, grainy",Full,"Sweet, Subdued, Expressive","Dark, unfocused",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
C3,,,,"Deep, rich, sonorous",,,,"Chalumeau, deep, rich",,"heavy, grainy",Full,"Sweet, Subdued, Expressive","Dark, unfocused",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
C#3,,,,"Deep, rich, sonorous",,,,"Chalumeau, deep, rich",,"heavy, grainy",Full,"Sweet, Subdued, Expressive","Dark, unfocused",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
D3,,,,"Deep, rich, sonorous",,,"Chalumeau, deep, rich","Chalumeau, deep, rich","Dark, covered","heavy, grainy",Full,"Sweet, Subdued, Expressive","Dark, unfocused",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
D#3,,,,"Deep, rich, sonorous",,,"Chalumeau, deep, rich","Chalumeau, deep, rich","Dark, covered","warm, rich",Full,"Sweet, Subdued, Expressive","Deep, bold",,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
E3,,,,"Deep, rich, sonorous",,"Deep, rich, intense","Chalumeau, deep, rich","Chalumeau, deep, rich","Dark, covered","warm, rich",Bright,"Sweet, Subdued, Expressive","Deep, bold",dull,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Strong
F3,,,,"Deep, rich, sonorous",,"Deep, rich, intense","Chalumeau, deep, rich","Chalumeau, deep, rich","Dark, covered","warm, rich",Bright,"Sweet, Subdued, Expressive","Deep, bold",dull,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Intense
F#3,,,,"Deep, rich, sonorous",,"Deep, rich, intense","Chalumeau, deep, rich","clarino, bright, incisive, expressive",warm,"warm, rich",Bright,"Sweet, Subdued, Expressive","Deep, bold",dull,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Intense
G3,,,"Deep, rich, sonorous","Deep, rich, sonorous",,"Deep, rich, intense","Chalumeau, deep, rich","clarino, bright, incisive, expressive",warm,"warm, rich",Bright,"Sweet, Subdued, Expressive","Deep, bold",dull,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Intense
G#3,,,"Deep, rich, sonorous","Deep, rich, sonorous",,"Deep, rich, intense","Chalumeau, deep, rich","clarino, bright, incisive, expressive",warm,"warm, rich",Bright,"Sweet, Subdued, Expressive","bold, bright, heroic",dull,"Firm, powerful","Deep, solid","mellow, smooth, sweet",Intense
A3,,,"Deep, rich, sonorous","Deep, rich, sonorous",,"Deep, rich, intense","Chalumeau, deep, rich","clarino, bright, incisive, expressive",warm,"full, bright",Bright,"Sweet, Subdued, Expressive","bright, heroic",dull,"Firm, powerful",powerful,"mellow, smooth, sweet",Intense
A#3,,,"Deep, rich, sonorous","Deep, rich, sonorous","thick, heavy","Deep, rich, intense","Chalumeau, deep, rich","clarino, bright, incisive, expressive",warm,"full, bright",Bright,"Sweet, Subdued, Expressive","bright, heroic","clear, bright, articulate","Firm, powerful",powerful,"mellow, smooth, sweet",Intense
B3,,"Weak, Luscious","Deep, rich, sonorous","Deep, rich, sonorous","thick, heavy","Deep, rich, intense","Chalumeau, deep, rich","clarino, bright, incisive, expressive",warm,"full, bright",Bright,"Sweet, Subdued, Expressive","bright, heroic","clear, bright, articulate","Firm, powerful",powerful,"mellow, smooth, sweet",Intense
